date,mrr,arr,revenue,costs,gross_margin_pct,new_customers,churned_customers,active_customers,churn_rate,arpu,cac,ltv,ltv_cac_ratio,leads,mql,sql,dau,mau,nps,support_tickets,expansion_mrr,contraction_mrr,reactivation_mrr,gross_revenue_retention_pct,net_revenue_retention_pct,enterprise_customers,mid_market_customers,smb_customers,pipeline_coverage,win_rate_pct,support_sla_pct,onboarding_days,focus_segment,primary_channel,product_launch,top_new_logos,top_expansion_accounts,churned_accounts,customer_story,risk_signal
2020-01,51840,622080,51840,19958,61.5,7,3,72,0.043,720.0,1515,2952,1.95,180,52,16,1423,3744,32,22,3500,900,400,91.2,101.5,6,19,47,1.7,18.2,92.0,48,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,Hospital Santa Aurora | Grupo Prisma Varejo | AtlasPay,Orbe Educacao | Central Farma | Aurora Energia,Studio Aurora Pilates,Aurora Energia ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-02,58560,702720,58560,22311,61.9,10,3,79,0.042,741.27,1500,3063,2.04,212,62,19,1567,4119,33,28,3500,900,400,91.3,101.9,6,21,52,1.74,18.4,92.1,48,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,AtlasPay | VerdeLog | Orbe Educacao,Central Farma | Aurora Energia | Porto Vivo Hoteis,Casa do Pao,Porto Vivo Hoteis ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-03,66876,802512,66876,25212,62.3,12,3,88,0.041,759.95,1482,3165,2.14,243,71,22,1753,4600,34,33,3500,900,400,91.4,102.3,7,24,57,1.77,18.5,92.2,48,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,Orbe Educacao | Central Farma | Aurora Energia,Aurora Energia | Porto Vivo Hoteis | Nexa Saude,Restaurante Brasa,Nexa Saude ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-04,76186,914232,76186,28417,62.7,14,4,98,0.041,777.41,1464,3262,2.23,272,80,25,1960,5136,35,39,3500,900,400,91.4,102.7,8,27,63,1.81,18.7,92.3,47,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,Aurora Energia | Porto Vivo Hoteis | Nexa Saude,Porto Vivo Hoteis | Nexa Saude | Lumen Telecom,Boutique Solar | Academia Sete,Lumen Telecom ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-05,85721,1028652,85721,31631,63.1,14,4,108,0.04,793.71,1444,3356,2.32,299,88,28,2168,5675,36,44,3500,900,400,91.5,103.0,9,30,69,1.84,18.8,92.3,47,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,Nexa Saude | Lumen Telecom | AgroVista,Nexa Saude | Lumen Telecom | AgroVista,Espaco Viver | Ciclo Urbano,AgroVista ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-06,95442,1145304,95442,34836,63.5,14,4,118,0.039,808.83,1423,3446,2.42,321,95,30,2378,6216,37,49,3500,900,400,91.6,103.4,10,32,76,1.87,18.9,92.4,47,PMEs de servicos e educacao,Inbound organico + referrals,CRM de onboarding e health score,AgroVista | Omnia Logistica | Clinix Diagnosticos,Lumen Telecom | AgroVista | Omnia Logistica,Studio Aurora Pilates | Padaria Avenida,Omnia Logistica ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Onboarding ainda exige acompanhamento manual em contas pequenas.
2020-07,106134,1273608,106134,38314,63.9,16,5,129,0.039,822.74,1401,3532,2.52,339,100,32,2610,6813,38,54,3500,900,400,91.6,103.7,12,36,81,1.9,19.0,92.4,47,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,Clinix Diagnosticos | Vertice Capital | GridFlex Energia,AgroVista | Omnia Logistica | Clinix Diagnosticos,Casa do Pao | Atelie Lagoa,Clinix Diagnosticos ampliou para 18 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2020-08,116962,1403544,116962,41872,64.2,16,5,140,0.038,835.44,1378,3614,2.62,353,105,33,2843,7413,38,59,3500,900,400,91.6,104.0,13,39,88,1.93,19.1,92.4,46,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,GridFlex Energia | LinkCom Telecom | Maxxi Operacoes,Omnia Logistica | Clinix Diagnosticos | Vertice Capital,Restaurante Brasa | Loja Horizonte,Vertice Capital ampliou para 20 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2020-09,127894,1534728,127894,45274,64.6,16,5,151,0.037,846.98,1356,3691,2.72,364,109,35,3079,8016,39,63,3500,900,400,91.7,104.2,14,42,95,1.96,19.2,92.4,46,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,Maxxi Operacoes | Prisma Engenharia | Triunfo Facilities,Clinix Diagnosticos | Vertice Capital | GridFlex Energia,Boutique Solar | Academia Sete,GridFlex Energia ampliou para 22 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2020-10,138907,1666884,138907,48756,64.9,16,5,162,0.036,857.45,1334,3764,2.82,372,111,35,3316,8622,39,67,3500,900,400,91.7,104.4,15,45,102,1.98,19.3,92.4,45,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,Triunfo Facilities | ValeSeguro | Conecta ERP,Vertice Capital | GridFlex Energia | LinkCom Telecom,Espaco Viver | Ciclo Urbano,LinkCom Telecom ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2020-11,150860,1810320,150860,52499,65.2,18,6,174,0.035,867.01,1313,3834,2.92,379,114,36,3575,9284,40,71,3500,900,400,91.7,104.6,17,49,108,2.01,19.4,92.5,45,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,Conecta ERP | NorteSul Atacado | Brava Alimentos,GridFlex Energia | LinkCom Telecom | Maxxi Operacoes,Studio Aurora Pilates | Padaria Avenida,Maxxi Operacoes ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2020-12,162033,1944396,162033,55901,65.5,17,6,185,0.035,875.85,1293,3901,3.02,386,116,37,3816,9896,40,74,3500,900,400,91.8,104.8,18,52,115,2.03,19.5,92.5,44,PMEs de varejo e franquias,Conteudo + SDR outbound,Dashboards de receita e renovacao,Brava Alimentos | Instituto Ponte | UrbanHub Imoveis,LinkCom Telecom | Maxxi Operacoes | Prisma Engenharia,Casa do Pao | Atelie Lagoa,Prisma Engenharia ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Churn segue mais concentrado em varejo local de baixo ticket.
2021-01,174188,2090256,174188,59746,65.7,18,6,197,0.034,884.2,1274,3967,3.11,395,119,38,4079,10565,40,77,3500,900,400,91.8,104.9,20,56,121,2.04,19.5,92.6,43,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,UrbanHub Imoveis | Ferrum Autopecas | ViaMobi,Maxxi Operacoes | Prisma Engenharia | Triunfo Facilities,Restaurante Brasa | Loja Horizonte,Triunfo Facilities ampliou para 12 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
2021-02,186493,2237916,186493,63408,66.0,19,7,209,0.033,892.31,1257,4032,3.21,406,123,39,4344,11236,40,80,3500,959,400,91.8,105.0,21,59,129,2.06,19.6,92.6,43,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,ViaMobi | Solis Solar | Rede Maralto,Prisma Engenharia | Triunfo Facilities | ValeSeguro,Boutique Solar | Academia Sete,ValeSeguro ampliou para 14 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
2021-03,198996,2387952,198996,67261,66.2,19,7,221,0.033,900.43,1241,4098,3.3,420,128,41,4611,11912,41,83,3500,1010,400,91.9,105.1,23,63,135,2.07,19.7,92.7,42,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,Rede Maralto | Colegio Horizonte | Casa Norte,Triunfo Facilities | ValeSeguro | Conecta ERP,Espaco Viver | Ciclo Urbano,Conecta ERP ampliou para 16 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
2021-04,212664,2551968,212664,71455,66.4,20,7,234,0.032,908.82,1227,4165,3.39,439,134,43,4901,12644,41,85,3500,1053,400,91.9,105.2,25,67,142,2.08,19.8,92.8,41,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,Casa Norte | Fiore Clinica Integrada | Rota Sul Transportes,ValeSeguro | Conecta ERP | NorteSul Atacado,Studio Aurora Pilates | Padaria Avenida,NorteSul Atacado ampliou para 18 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
